userName,content,score,at
Sabry Gamal,ابلكيشن بقا زي الزفت السواقين اللي فيه بعد ما بيقبلو الرحلة ببكنسلوها علشان المكان قريب او المكان مش عجبهم وحاجه بقت قذره جدا,1,2025-07-23 11:53:58
Mwada Abbas,جميل مريح السائقون اللي تعاملت معاهم مؤدبين,5,2025-07-23 11:52:37
Nader Rushdi,ممتاز,5,2025-07-23 11:37:19
kmk eed,شكرا اوبر,5,2025-07-23 11:27:20
Naglaa Fatouh,جيده جدا,5,2025-07-23 11:19:57
Zaid Ali,شكرا,5,2025-07-23 11:10:01
Mohamed Hussien,تطبيق كويس ولكن الاسعار في الوقت الحالي برجاء مراجعتها,5,2025-07-23 11:08:37
Ahmed Alla,ممتاز وأمن يكفي ان السيارات نظيفة ورائحتها عطرة والكباتن محترمين وعروض أوبر ممتازة,5,2025-07-23 10:58:08
محمد حسن,كابتن محترم جدا,5,2025-07-23 10:22:43
Dina Ahmed,very nice picture,5,2025-07-23 10:12:39
Mohamed SALAH,رائعه,5,2025-07-23 10:11:28
Mahmoud Abd elsamea,ممتازه,5,2025-07-23 09:55:43
Mohamed Hassan,بشكل عام تجربة جيدة الا ان بعض السائقين غير ملتزمين احيانا فضلا عن لا أحد يعيد الباقي من الاجرة اذا اعطيته زيادة ويعتبرها اكرامية,4,2025-07-23 09:51:08
Mohamed Farag,تجربه جيده جدا,5,2025-07-23 09:48:08
Azza Hadi,good,1,2025-07-23 09:37:58
mohamed elsawy,جيد,5,2025-07-23 09:25:20
الهندسية للخدمات الصناعية,لماذا لا استطيع فتح المحفظه وظهرها عند الكابتن لارجاع الباقي لي او اضافته في محفظتي,1,2025-07-23 09:22:27
TAHA EL Shimy,رائع,5,2025-07-23 09:14:06
محمود عواد,تطبيق ممتاز,5,2025-07-23 09:01:36
Reham Marble,خدمة ممتازة جدا,5,2025-07-23 08:20:44
منوعات توتة,ممتاز,5,2025-07-23 08:02:48
Abdoodoja90 Y,تطبيق ممتاز,5,2025-07-23 07:19:54
abdelghany Saeed,كنت محتاج توصيله وجالى الحساب ووافقت وبعد الانتظار حوالي ربع ساعة الموقع ألغى المشوار واتكرر بعد ذلك مرتين وكل مرة بيزود في السعر وأنا مشكلتي مش في الفلوس بس المشكلة لما تتفق معي على حاجة وترجع فيها في حين أنا لو لاغيت مشوار بيتم عمل غرامة في حين المفروض المعاملة بالمثل يعني في حالة إلغاء المشوار يتم عمل خصم للعميل ولو كان الإلغاء من السائقين يتم الخصم من حسابهم,3,2025-07-23 07:18:24
Shimaa Shapaan,ممتاز فوق المتوقع,5,2025-07-23 07:04:54
ahmed abdelhafez,👍,5,2025-07-23 07:02:19
ahmad abutaha,رائع,5,2025-07-23 06:54:48
Green Shahbaa,مميز,5,2025-07-23 06:18:25
نجوم ساطعه,دقه عاليه بالمواعيد واوفر..في الدفع,5,2025-07-23 06:04:24
Ahmed Mohamed,تحفة تحفة تحفة ❤️,5,2025-07-23 05:06:59
ziyada ali,ممتازة,5,2025-07-23 04:31:46
اميرة حسين,تمام جدا,5,2025-07-23 03:23:52
Batoul Barakat,سيئة,1,2025-07-23 03:09:45
Ahmed Fareed,تطبيق سئ ومبيفتحش بجد صوعبه فالتسجليل ما غيرت التليفون مرتين ولحد دلوقتي مبيسجبش ال OTP مبيجيش بيجي بعدها بيوم,1,2025-07-23 02:58:20
Kĥâlıđ Můšā Ğx,ممتعة وتعامل سلس وجميل شكرا جزيلا لكم على هذه الخدمة المريحة,5,2025-07-22 23:39:11
عبدالفتاح الجبري,ممتاز وسريع وسعر جيد,5,2025-07-22 23:15:28
الجابري,استخدمت اوبر في دولة اوربية والان بالسعودية وكل يوم تجيني عدد2 او 3 رسائل خصم وصار رصيدي سالب والغيت البطاقة وب ألغي اوبر نفسه,1,2025-07-22 22:11:42
ابو الجود,ممتازه,5,2025-07-22 21:45:58
Ahmed Adel,ابلكيشن رائع بالفعل و الكابتن محترمين جداً,5,2025-07-22 21:15:44
مروان قرار,اجمل خدمه,5,2025-07-22 21:08:16
Muhammed San,صراحة اسعار ممتازة يا ريت استمروا بنفس العروض,5,2025-07-22 20:52:13
Randa Gad,ممتاز,5,2025-07-22 20:45:01
مصطفى وائل,ممتاز,5,2025-07-22 20:36:37
Gehan Philip,محترم وملتزم,5,2025-07-22 19:38:42
Ahmed Talha,ممتازة,5,2025-07-22 19:31:26
nawar ali,يستاهل ٥ نجوم,5,2025-07-22 19:15:44
Semon Adel,تحفه,5,2025-07-22 19:13:20
هاشم عمر محمد يوسف,أول يوم استخدمه وبعتبر التجربة ناجحه وموفقين بإذن الله,5,2025-07-22 18:48:24
Ahmed Basha,ممتاز,5,2025-07-22 18:38:34
Manar Mohamed,ممتازه,5,2025-07-22 18:24:09
Fares Wael,سريع و جيد جدا ممتاز,5,2025-07-22 17:57:25
mohamed elhamg,ممتاز,5,2025-07-22 17:48:26
كامل شعبان,شكرا,5,2025-07-22 17:39:23
Yassin Youssef,جيد,5,2025-07-22 17:34:42
ياسمين ابداح,بعد التحديث التطبيق بعلق ومافيو نفس الميزات الي قبل ومدى دقة الوقت مافي دقة ياريت بلا التحديث الجديد,1,2025-07-22 17:04:22
Youssef Kamal,The program is not working.,1,2025-07-22 16:59:15
Amal sabry,ممتاز,5,2025-07-22 16:55:33
ANAS HHH,ممتاز,5,2025-07-22 16:45:19
محمد محمود,ممتاز جدا,5,2025-07-22 15:23:48
محمدزين البله,ممتاز,5,2025-07-22 15:15:47
Noh Alsenawi,السائق مودي وخلوق وتعامله لبق,5,2025-07-22 14:59:59
Mernasamirahmedhasanen,سئ جدا في الدعم,1,2025-07-22 14:53:45
samy elmasry,ممتازة مع كباتن محترمين,5,2025-07-22 14:50:21
Boray Ahmed,جيد واسعار معقوله,5,2025-07-22 14:48:17
محمد الحطامي,خدمه سائقين سيئه يفرضون عليك فلوس من دون م يجيك السواق ما يستاهل ولا نص نجمه,1,2025-07-22 14:39:02
Eslam Ramdan,تطبيق ممتاز,5,2025-07-22 13:50:35
أميرة بالقاسم,جميل وسريع,5,2025-07-22 13:44:43
Latifa Agha,كانت ممتازة,5,2025-07-22 13:35:15
Reem,مره حلوه جنن,5,2025-07-22 13:28:27
khadiga musa,أوبر تطبيق ممتاز وكذلك الاخوة السائقين قمة في التعاون واختيار الطريق الخالي من الزحمة والوصول إلى المكان المقصود بسهولة وييسر.,5,2025-07-22 13:06:57
Mohammed Siraj Al-Din,"طلبت رحله. كابتن من الكباتن وافق على الطلب. (وكنت متابع الطلب على التطبيق) فوجئت بالكابتن ألغى الرحله والتطبيق جايب علي غرامة إلغاء "" طيب مش أنا إللي ألغيت الرحله يجيب عليا أنا الغرامه ليه"" . وكان التطبيق كمان عايز يبحث على كابتن آخر رفضت البحث طبعاً وطلبت رحله من تطبيق DiDi. وأكتشفت إن تطبيق DiDi أفضل بكتير. نفس التجربه السيئه التي واجهتني في تطبيق كريم وهي النصب. دي دي وإن درايڤر أفضل بكثير من هذه الشركات النصابه. وأنا لا أرمي بالباطل ومحتفظ بكل الأدله التي تثبت كلامي من تسجيلات للمكالمات ولقط",1,2025-07-22 12:47:44
هشام اسماعيل,تجربه ممتازة وسائق محترم,5,2025-07-22 12:45:53
علي السليماني,تجربه ممتازة ولكن في مشكله احيان مافي استجابه رغم وجود سائقين في الجوار,5,2025-07-22 12:43:32
ابو يوسف,جيد,5,2025-07-22 12:43:02
Shrief Gnedy,ممتاز,5,2025-07-22 12:34:45
Mahmoud Mohammed,السعر مناسب,4,2025-07-22 12:23:33
Meme Baby,اتمنا لكم المزيد من التقدم الي الامام دائما,5,2025-07-22 12:21:10
Hesham Elsesdy,تجربه ممتازه سشل,5,2025-07-22 11:54:14
youssef,الله ينور احسن من اندريف,5,2025-07-22 11:34:08
Saif Poplzy,جيد جدا,5,2025-07-22 10:53:37
Techno Tech,برنامج بقي غريب السواقين اول ما يقبل الرحله يكلمك رايحين فين تقوله المكان يقول تمام ويقفل المكالمة ويقوم مكنسل تروح للي بعده وهكذا كتييييييييير غير سوال كاش ولافيزا,1,2025-07-22 10:44:10
Kamel Shidiak,رائعة ومريحة ولبقة جدا,5,2025-07-22 10:32:19
Fady Jesus,سائق عسل,5,2025-07-22 10:15:45
Amina Abdulrahman,سي يسرقون البطاقة المحفوظة احذروا الموقع به عمليات نصب ...ليس لديهم الدعم اتمنى إلغاء اوبر من قطر,1,2025-07-22 10:13:54
يعقوب عادل,والله كفو أ وبر,5,2025-07-22 10:11:26
Tahani,تمت محاسبتي على المشوار مرتين وحاولت التواصل معهم مافي فايدة وكمان واحد من السواقين ألغى المشوار لعد مادفعت ورجعو بس ٧ ريال وكمان البارح وصلني سواق اسمه سعد بخيت الجهني قلت احولك على حسابك عادي وتدفعها للتطبيق قال تمام وحولت له حق المشوار وتفاجأت انه حق المشوار ماندفع وانا مطالبة بحق المشوار وانا اطابهم بحق مشوارين مارجعوها لي وحسبي الله ونعم الوكيل,1,2025-07-22 10:04:36
Ibrahimmohamdaisa lahos,خدمه ممتازه,5,2025-07-22 09:40:28
HATEM Fathe,رائع,5,2025-07-22 09:03:52
نوح احمد القرشي,اذا ركبت السياره واجيب الحساب عند النزول اقول للسواق اطرح الباقي في المحفظه يقول مافي معك محفظة كيف هذا البرنامج وبعدين يتأخر أقل حاجة اول ماء تطلب 20 دقيقة وأكثر وعندي النت قوي 💪 إيش السبب,1,2025-07-22 08:53:53
Owais Osman,ممتازه,5,2025-07-22 08:25:48
Abu Jihad Abu Jihad,ممتاز,5,2025-07-22 08:10:09
nesma mohmed,جميل جدا,5,2025-07-22 08:05:00
ahmed Koubisy,افضل برنامج,5,2025-07-22 07:55:58
sameer aljundi,شكرا لكم السائق ممتاز في تعامله مع الراكب,5,2025-07-22 07:40:50
Moaz Saed,ممتاز,5,2025-07-22 07:12:14
Suheir Nafash,رائع,5,2025-07-22 07:08:56
محمد فتحي محمد ابراهيم شلبى,ممتاز جدا,5,2025-07-22 06:50:47
Ahmed,اسعار رائع,5,2025-07-22 06:28:02
ابرهيم محمد أحمد,جيد,5,2025-07-22 06:23:36
علي موسى معشي,ممتاز,5,2025-07-22 06:07:45
كارم احمد,فوق الممتاز,5,2025-07-22 06:03:36
Mai Alam,رائعه جدا ❤️ منتهى الذوق والرقة ف التعامل بصراحه,5,2025-07-22 05:47:40
ahmed weka,ممتازه,5,2025-07-22 05:45:42
صالح علي,احلا برنامج ناس محترمين واسعار مناسبه,5,2025-07-22 03:57:12
اسامه الدليمي,رقم واحد عالميا,5,2025-07-22 03:45:58
ZEYAD AL-WAH,ممتاز جدا,5,2025-07-22 02:45:07
Heba Mohamed,ممتازة,5,2025-07-22 02:27:48
Abeer Hariri,يا ريت لو تضيفوا خانة سيدات سائقات احنا البنات نحتاج بنات يوصلونا يا ريت تتكرموا وتضيفوها لتطبيقكم الرائع,3,2025-07-22 02:03:19
aslex,حلو,5,2025-07-22 01:16:39
Sggs Ns,ممتاز,5,2025-07-22 00:24:50
Ahmed yahia,جيد,5,2025-07-22 00:11:50
Amar Samir,ممتازه,5,2025-07-21 23:06:25
Saleh Saleh,مررره رهيب,5,2025-07-21 21:45:13
محمد محمد,اكثر من رائع شكرا اوبر,5,2025-07-21 21:34:40
Salah Shaapan,ممتاز,5,2025-07-21 20:38:44
Jyf Ch,👍,5,2025-07-21 20:13:05
samy Atya,ممتازه,5,2025-07-21 20:09:29
سيد عبد الظاهر,السائق المذكور طلب أجرة ذيادة من نادى 6اكتوبر حلمية الزيتون أخذ 150جنيه والاجرة كانت 89جنية اخد 130جنية كانت الرحلة فوق السيه صفر صفر,1,2025-07-21 19:59:36
احمد البلوي,جميل,5,2025-07-21 19:27:29
مانع يوسف,مريحه وسريعه,5,2025-07-21 19:08:24
Presidentti Code,لمذا يتم طلب الاميل.!!!!! تكتب رقم الهاتف فيطلب الاميل ويتحجج بان السبب هو اعادة الحساب!!! الا تستطيع اعادة الحساب عبر الهاتف؟ انا لا اثق بهذه شركات,1,2025-07-21 18:56:08
بسام حسن,ممتاز,5,2025-07-21 18:40:36
aslam Solyman,أوبر محترم جدا,3,2025-07-21 18:30:07
mohamed ali,جيدة,5,2025-07-21 18:04:46
Ali Mohmed,ممتاز,5,2025-07-21 17:01:57
عمرو الخليدي,كانت تجربه رائعه,5,2025-07-21 17:00:44
Abdo Hamde,ممتازه,5,2025-07-21 16:57:23
صالح عمر,جميل جدا,5,2025-07-21 16:55:42
عفيفي الامير,جميل,5,2025-07-21 16:35:25
Bossy Hessin,كباتن محترم,4,2025-07-21 16:32:48
taga Ahmed,ممتاز,5,2025-07-21 16:32:05
Medhat Abohmada,جيد في كل مكان تجده وسعره معقول,4,2025-07-21 16:22:12
Ali Al arasi,رائع جداً,5,2025-07-21 16:15:36
tita xpp,جيد,5,2025-07-21 16:10:49
Suhida Abdala,امن,5,2025-07-21 15:35:21
Mohamad Altrko,💜💜,5,2025-07-21 15:14:14
رامي,كويس لكن غالي,5,2025-07-21 14:37:39
مقداد محسن الزيدابي,جميلا,5,2025-07-21 14:34:42
ommona ommona,ممتازه,5,2025-07-21 14:11:46
Ziad Mansour,راااائع,5,2025-07-21 14:09:28
Samiha Hijazeen,كباتن زوق ومحترامين,5,2025-07-21 14:05:47
Abu Omar M / Ahmed Saeed,والله جميل جدا,5,2025-07-21 13:28:13
فهمي الطيب,ممتازة جدا بس الاسعار زياده شويه,5,2025-07-21 13:26:56
Khled 22,ممتاز,5,2025-07-21 12:52:36
Reda Mohamed,ممتازه,5,2025-07-21 12:40:24
Waled Hamam,جميلة,5,2025-07-21 11:53:09
Faten Emam,للأهمية القصوى يجب مراجعة عدد رحلات باقة شاتل حيث أنه يتم سحب الرحلات بدون وجه حق تطبيق بلا مهنية بلا مصداقية بلا أمانة موظفي الدعم وخدمة العملاء في اوبر في بعض منهم فاهم شغله وبيعرف يدرس الشكوي ويقدم حل يرضي العميل ولكن القلة منهم بيبعت رسائل رد اوتو ربلاي بدون فهم الشكوي وبالتالي ما بيقدمش حل يرضي العميل وأوقات بيختاروا أنهم ما يردوش اصلا علي العميل ويسيبوا الشكوي كده العميل يبعت 100 رسالة وهما ولا في دماغهم وعلشان كده موظفي الدعم المقصرين في أوبر تقيمهم بالنسبة لي ولا نجمة واحدة حتي,1,2025-07-21 11:51:38
الصقر,ممتاز,5,2025-07-21 11:50:34
خلف صلاح عبدالرحمن,ممتاز,5,2025-07-21 11:47:45
احمد حكيم,محترم جدا,4,2025-07-21 11:31:00
Ahmed Sayd,ممتاز,5,2025-07-21 11:09:55
محمد الجمسي,محتاج تعديل,1,2025-07-21 10:51:38
Ezat Almanzele,والله اكثر من رائع,5,2025-07-21 10:42:39
Ammar,روعة,5,2025-07-21 10:41:33
عمرو محمود,جميل جدا,5,2025-07-21 10:39:12
غالب الغمري,ممتاز جدآ جدآ,5,2025-07-21 10:16:07
نور ابراهيم,شركه جميله جدا,5,2025-07-21 09:49:01
wael Hassan,لقد حدث خلل عندكم فى الخريطة وانا منتظر السائق وقام السائق بإلغاء المشوار وانا منتظر فى النقطة على الخريطة وبعد ذلك وجدت أنه يجب على دفع مبلغ ٢.٦٥ € وانا لم اخطئ فى شئ ولن ادفعه وسألغى اشتراكى فى اوبر واشتركت فى بولت حاليا,1,2025-07-21 08:44:35
Wasim Sulten,والله البرنامج حلو الكباتن احلا,5,2025-07-21 08:34:51
abdallah sayed,اسعار غاليه جدا عكس التطبيقات الاخرى وانتظار وقت طويل جدا للطلب انصح بعدم تحميل التطبيق,1,2025-07-21 08:09:36
Mohamed Ashour,حاجه جميله,5,2025-07-21 07:59:22
marim Alfy,جيده,5,2025-07-21 07:54:33
آلاء جميل,عدم وجود خانه تعديل مشوار,1,2025-07-21 07:52:58
يوسف رمضان,كويس شديد,5,2025-07-21 07:46:47
جودى احمد نبيل,ممتاز,4,2025-07-21 07:21:43
محمد الشعراوى,تطبيق مميز,5,2025-07-21 07:05:49
Youssef Rida,امتاز,5,2025-07-21 07:04:45
Mohamed wlied,قمت بإلغاء الرحله و لم استرد النقود !!,1,2025-07-21 06:40:39
Mohamed Ashraf,ممتاز,5,2025-07-21 06:24:39
ahmed abdellatef,رائع,5,2025-07-21 06:13:37
Mar celo,تجربه حميله,5,2025-07-21 05:59:00
فايز عالب,غير منضبطين و اتعرض للتأخير كل مرة,3,2025-07-21 05:37:35
Samah Abdo,ممتاز,5,2025-07-21 02:46:56
Zaradasht Jaafar,Gut,5,2025-07-21 01:19:52
ادم احمد,ممتاذ وسريع,5,2025-07-21 00:52:48
Omda Alamin,ممتازه,5,2025-07-21 00:12:17
ABDELRAHMAN MOSTAFA SALEH ELWANY,تمام تطبيق ممتاز,5,2025-07-21 00:11:48
مصعب الحجازي,ممتاز ومختصر جداً,5,2025-07-20 23:08:05
خليفه القصير,ف العموم جيد,4,2025-07-20 22:58:07
Nana,مازال أوبر من أفضل تجارب القيادة بمصر و لكن مع زيادة الأسعار نحتاج لعروض كثيرة بتخفيضات كبيرة و خاصة مع العملاء القدامى,5,2025-07-20 21:47:55
عبده GB,خدمة ممتازة,5,2025-07-20 21:41:46
عمر صلاح,كويسه,3,2025-07-20 21:23:47
Rehana Elhawari,اسرع مواصله ف مصر,5,2025-07-20 21:05:20
sokara mohammed,جميل,5,2025-07-20 21:01:00
mahmut kamal,انا بنسبا يلي احسن برنامج تاكاسي,5,2025-07-20 20:36:47
الحسين أحمد,سريع ورخيص وأمن وسلوك العملاء ممتاز,4,2025-07-20 20:14:39
Mohamed M,ممتاز,5,2025-07-20 20:11:52
Mohamed Hesham,افضل تطبيق بلا منافس,5,2025-07-20 19:47:53
Huda Ahmad,روعة,5,2025-07-20 19:45:20
لولو المدهون,الخدمة سيئة احاول ان اتواصل مع فريق الدعم لكن ليس هناك رد نسيت غرض لي بالسيارة واحاول التواصل مع فريق الدعم او السائق,1,2025-07-20 18:52:16
Nareman Momen,ممتازه,5,2025-07-20 18:47:06
Shimaa Magdy,حلو جدا,5,2025-07-20 18:40:07
Mohamed Abd EL Maboud,ممتاز,5,2025-07-20 18:37:06
Hind Abdelrahman,سريع و مريح و مفيد جظا أحب هذا التطبيق و سهل الطلب,5,2025-07-20 18:00:03
Hamza Emad,تطبيق جميل بس في حاجة يريت تحسنها انو فترة لانتصار علشان تلاقي غربية طويلة,5,2025-07-20 17:36:14
Yousef Fandi,excelente,5,2025-07-20 17:30:23
Nermeen Kamal,كويس شغال,4,2025-07-20 16:37:49
Mohammad Mousa,الخدمه بقت سيئة جدا..انتظار وقت طويل الكابتن يقبل المشوار ويلغي بمزاجه قبل مايوصل أو يتصل ويقولك الغي علشان أنا بعيد,1,2025-07-20 16:02:16
الامير امير,سي جدا,1,2025-07-20 15:26:31
Mona Esmail,جيدة,3,2025-07-20 14:58:23
سمير صبرى,رائع,5,2025-07-20 14:51:53
Heba Mahmoud,ممتاز,5,2025-07-20 14:44:47
ساميه سامية,لا يوجد رقم للاتصال بخدمة العملاء لم أستطع الحصول على مفقوداتي,1,2025-07-20 14:16:47
farouk badwey,تجربة جديرة بالتقدير,5,2025-07-20 13:59:43
محمد الخليفي ، كنااري,good,5,2025-07-20 13:35:36
kemo hosny,افضل تطبيق تنقل ذكي,5,2025-07-20 13:30:01
Bio Green,جيدة جدا,5,2025-07-20 13:24:31
ĂĦmễď Mįđò,برنامج رائع جداً ❤,5,2025-07-20 13:14:44
Mokhtar Ibrahim,خدمة ممتازة,5,2025-07-20 13:01:23
abdullah shaker,"‏آمل من أوبر إعادة النظر في تصنيف السيارات ضمن فئة ""الفاخرة""، بما يتناسب مع توقعات العملاء وطبيعة الفئة.",1,2025-07-20 12:48:18
محمد طنطاوي,تطبيق محترم,5,2025-07-20 11:40:09
Mahmoud Mody,اوسخ ابلكشن ممكن تتعامل معاه كابتن أو عميل,1,2025-07-20 10:48:58
مصطفى محمد,شكرا جزيلا لكم,5,2025-07-20 10:20:08
Emad Baabbad,برنامج ممتاز لكن مايحفظ موقع الالتقاء الدايم ويعطي لوكيشن غلط مما تضظر تدفع مبلغ زياده وانت مالك ذنب,4,2025-07-20 10:17:58
Mahmoud Zezo,تجربة رائعة,5,2025-07-20 10:11:32
hasssn sh,🙂,3,2025-07-20 09:29:45
Aida Zahra,العربيات مابتلتزمش بالموقع وبتجيلى فى مكان ابعد وبعدين بلغوا الرحله مش كلهم بس بعض منهم,4,2025-07-20 09:25:14
YOUSEF Ahmed wod,جميل جدا,5,2025-07-20 09:24:45
صالح البرقي,جميل جدا ورائع,5,2025-07-20 09:15:19
Hoba elpop,برنامج زباله بيحدد الخريطه لوحده لو عايز تحدد مكان,1,2025-07-20 08:52:32
Salah Ahmed,جميل جداً,5,2025-07-20 08:51:18
Mahmoud Elsnoty,ممتاز,5,2025-07-20 08:16:14
مارب آل محن يزيد,تطبيق ممتاز وسلس وسريع,5,2025-07-20 08:13:40
قناة ام عبدالرحمن,غالي ومابيعطيك نفس السعر بضل يزيد اشي بخزي,1,2025-07-20 08:12:03
عبدالله النايف,للأسف برنامج لديه فريق دعم سيء جدا وخاصه في مصر. السائقين يحتالون على العميل ولا يوجد من يحمي العميل طلبت أوبر من الفندق الي المطار في الغردقه وبعد ذلك تواصل معي السائق وبدأ في مساومتي على قيمه المشوار التي تعادل ثلاث أضعاف القيمه المحدده من البرنامج ورفضت وقمت بتغيير السائق وطلبت مره اخرى وايضا نفس المشكله ولكن بسعر اعلا من السابق وبعد ذلك حددت خيار الدفع بواسطه الفيزه ولكن السائق اجبرني على الدفع نقدا عند الوصول للمطار ثم تواصلت مع الدعم ووصفت لهم المشكله لكن للأسف كان كلامهم محبط ولم يتم حلها,1,2025-07-20 07:46:17
ابو مالك ابو مالك,ممتاز,5,2025-07-20 07:19:31
Heba My Account,تطبيق سيء سيء سيء كان عندي امتحان توجيهي والسائق كتن يحتاج 5 دقايق لكني بقيت انتظر 30 ساعة وكان الامتحان على وشك البدأ وعندما لغيت الطلب وطلبت واحد آخر جعلني ادفع ثمن الاثنين!!! وغيرها اليوم اختي لديها موعد استلام شهادتها بقينا ننتظر 40 دقيقة على وكل شوي اغير السائق وجعلني ادفع رغم ان الغلط من السواق الذين بالفعل يصلون إلى آخر الشارع لكن يلفون حول العالم ويأخروني!!,1,2025-07-20 07:17:28
mahmoud saad,ممتازة جداا,5,2025-07-20 07:12:15
KHOLOUD ALI,good,5,2025-07-20 06:50:53
وليد بندق,تطبيق سي جدا والاوبر بيقبل وهو بيكون ع مسافه بعيده عند تيجي 20 دقيقه واكتر وبينظلك مكان غير المكان و يجي متأخر و مفيش حد بيقبل بسرعه ويطلب منك تروح مشاوير خارج التطبيق ويعلي عليك السعر ولما انتا تلغي يبقا عليك غرامه,1,2025-07-20 06:48:15
سامي الجبور,انها جميله وسريع جدا,5,2025-07-20 06:43:57
Dalia Taha,جيد جدن,5,2025-07-20 06:25:31
Fathy Mohamed,اوقات كتير بطلب و يقبل ريكوست و هو في مشوار و يتأخر عليا و لما بلغي بيجلي غرامه و بتتكرر كتير اوي,3,2025-07-20 06:19:25
محمد عبده,تطبيق سيئ جداً م انصح بإستخدامه ، مشاويره مرتفعه ، ويرفع في المسافه ع شان يكون المبلغ كبير ، وإذا عملت إلغاء مشوار علطول يجيبوا الغرامه بينما التطبيقات الاخرى شي طبيعي ويجيبوا الغرامه على وقت محدد ، انصح بتطبيق ديدي افخم تطبيق تحفه والله.,1,2025-07-20 05:55:44
Eman Saleh,ممتازة,5,2025-07-20 05:54:42
Read Elqasaby,جزاكم الله خيرا على هذا المجهود الطيب ونبقى معكم لآخر العمر شكرا لتعاونكم جميعاً وربنا يحفظكم ونعم الشركة,5,2025-07-20 05:24:50
Mahmoud Mostafa,جيد جدا,5,2025-07-20 05:09:05
Ahmed Nasr,جدا رائع,5,2025-07-20 01:26:47
Mohamed Eid,جيده,5,2025-07-20 00:29:06
Mod Mod,شكرا لأحسن خدمة فى مصر,5,2025-07-20 00:25:50
Mahmoud Hajismail,ممتاز ورخيص وسائق محترم ولطيف,5,2025-07-20 00:08:57
Aalsarraf,Good,5,2025-07-19 20:57:09
Mostafa Saad,تطبيق ممتاز,5,2025-07-19 20:47:16
KAGOO JOKER,افضل برنامج تنقل الكتروني,5,2025-07-19 20:19:59
Mohammed,ممتاز ورائع,5,2025-07-19 20:03:12
Khaled Ajaj,جيده,5,2025-07-19 19:45:40
Narjes,ما شاء الله تحسن ملحوظ في التطبيق وسرعة العثور على سيارة توصيل و تحديد الموقع ...في تطوير مستمر,4,2025-07-19 19:38:31
Safaa Romi,الايجار مناسب والسائق محترم جداا,5,2025-07-19 19:29:53
ابو العزمحمد الأبيض,تعاملهم جداً ممتاز. وملتزمين في الوقت,5,2025-07-19 19:20:20
أيسر الأيمن,رائع مع خدمة سريعة,5,2025-07-19 19:19:57
Gamil Be5et,اوبر مريح جدا,5,2025-07-19 19:01:40
Abdallah Mohamed,ممتاز,5,2025-07-19 18:56:10
Sameh smsm Smsm,ممتاز,5,2025-07-19 18:46:09
محمد حسين,ممتاز,5,2025-07-19 18:44:36
XxXProxxx Rijf7fjrkjj,افضل وأرخص تطبيق مرررة يفيد والسائقين مرة زينين,5,2025-07-19 18:26:45
مهند بكري,تطبيق مريح وآمن,5,2025-07-19 18:25:59
Mohamed Ahmed,جيدا.,5,2025-07-19 18:14:23
المحامي احمد العجلوني,ممتاز,5,2025-07-19 18:13:10
Hala Eltayeb,تطبيق سيئ جدا وعندما اريد تسجيل الدخول يعقد الأمر وفي النهاية لا ينجح,1,2025-07-19 17:34:35
Mostafa Elgendy,اسعار معقوله وسيارات جميله,5,2025-07-19 16:56:17
Ahmed Mano,رائع,5,2025-07-19 16:37:29
mohamed haroon,تجربه جديده جدا وتعريفه اوبر ممتازه,5,2025-07-19 16:30:49
Hossam eldeen Mohamed,التطبيق سىء جدا انتظرت 20 دقيقة وقام السائق بالغاء الرحلة ومنظر سائق آخر 14 دقيقة ويقف الوقت على رقم احيانا ويظل اكثر من خمس دقائق,1,2025-07-19 16:26:32
رحاب,يتابع ويهتم,5,2025-07-19 16:10:14
احمد مجدي سمير,جميل جدا,5,2025-07-19 15:18:34
Sha3ban Mo2men,تجربه حلوه اوي,5,2025-07-19 14:36:39
Abdul Hakim zaid,ممتاز جدا,5,2025-07-19 14:34:05
سبع صنايع,رائعة,5,2025-07-19 13:25:26
Emoo Yakout,كابتن في قمة الذوق والرقي,5,2025-07-19 13:03:02
Aya Ahmed,ممتاز,5,2025-07-19 12:07:28
Soliman Sayed,رائع,5,2025-07-19 11:47:21
Mohamed abdellah,زوق,5,2025-07-19 11:16:17
MENA SALAH,رائع,5,2025-07-19 08:16:31
Thuraya Abdo,ممتازه,5,2025-07-19 08:05:54
amr Mahna,كابتن ممتاز,5,2025-07-19 07:06:52
حسام حسنى الششتاوى,ممتاز,5,2025-07-19 05:37:17
‪d Ss‬‏,ممتاز,5,2025-07-19 05:29:17
ahmed Mohamed,تجربة رائعة,5,2025-07-19 05:22:31
abdo sopih,ممتازه جدا,5,2025-07-19 04:32:30
gand,تعامله ممتاز,5,2025-07-19 03:42:16
Ahmad,ممتازه,2,2025-07-19 02:45:43
ذكريات حمادي,تطبيق جميل,1,2025-07-19 00:23:26
فادي العساف,مريح,5,2025-07-19 00:16:53
محمد الشيخ,حلو جدا,5,2025-07-19 00:02:13
Ahmed Asym,ممتاز,5,2025-07-18 23:47:45
Hany Mohammed,جيد,5,2025-07-18 23:26:45
sara ezmaze,جيد,5,2025-07-18 23:20:03
صرخة حب sarkhat hb,شركة محترمة وسائقين محترمين,5,2025-07-18 22:48:01
عمر حمزه الخير,ممتاز,5,2025-07-18 22:38:35
Mohamed Mostafa,اريد خصم,4,2025-07-18 22:29:29
ahmed mostafa,جيد جدا,5,2025-07-18 22:28:38
