userName,content,score,at,sentiment,clean_text
نور ابراهيم,شركه جميله جدا,5,2025-07-21 09:49:01,positive,شركه جميله جدا
wael Hassan,لقد حدث خلل عندكم فى الخريطة وانا منتظر السائق وقام السائق بإلغاء المشوار وانا منتظر فى النقطة على الخريطة وبعد ذلك وجدت أنه يجب على دفع مبلغ ٢.٦٥ € وانا لم اخطئ فى شئ ولن ادفعه وسألغى اشتراكى فى اوبر واشتركت فى بولت حاليا,1,2025-07-21 08:44:35,negative,لقد حدث خلل عندكم الخريطه وانا منتظر السائق وقام السائق بالغاء المشوار وانا منتظر النقطه الخريطه وبعد وجدت انه يجب دفع مبلغ وانا اخطئ شئ ولن ادفعه وسالغي اشتراكي اوبر واشتركت بولت حاليا
Wasim Sulten,والله البرنامج حلو الكباتن احلا,5,2025-07-21 08:34:51,positive,والله البرنامج حلو الكباتن احلا
abdallah sayed,اسعار غاليه جدا عكس التطبيقات الاخرى وانتظار وقت طويل جدا للطلب انصح بعدم تحميل التطبيق,1,2025-07-21 08:09:36,negative,اسعار غاليه جدا عكس التطبيقات الاخري وانتظار وقت طويل جدا للطلب انصح بعدم تحميل التطبيق
Mohamed Ashour,حاجه جميله,5,2025-07-21 07:59:22,positive,حاجه جميله
marim Alfy,جيده,5,2025-07-21 07:54:33,positive,جيده
آلاء جميل,عدم وجود خانه تعديل مشوار,1,2025-07-21 07:52:58,negative,عدم وجود خانه تعديل مشوار
يوسف رمضان,كويس شديد,5,2025-07-21 07:46:47,positive,كويس شديد
جودى احمد نبيل,ممتاز,4,2025-07-21 07:21:43,positive,ممتاز
محمد الشعراوى,تطبيق مميز,5,2025-07-21 07:05:49,positive,مميز
Youssef Rida,امتاز,5,2025-07-21 07:04:45,positive,امتاز
Mohamed wlied,قمت بإلغاء الرحله و لم استرد النقود !!,1,2025-07-21 06:40:39,negative,قمت بالغاء الرحله استرد النقود
Mohamed Ashraf,ممتاز,5,2025-07-21 06:24:39,positive,ممتاز
ahmed abdellatef,رائع,5,2025-07-21 06:13:37,positive,رائع
Mar celo,تجربه حميله,5,2025-07-21 05:59:00,positive,تجربه حميله
فايز عالب,غير منضبطين و اتعرض للتأخير كل مرة,3,2025-07-21 05:37:35,neutral,منضبطين اتعرض للتاخير مره
Samah Abdo,ممتاز,5,2025-07-21 02:46:56,positive,ممتاز
Zaradasht Jaafar,Gut,5,2025-07-21 01:19:52,positive,
ادم احمد,ممتاذ وسريع,5,2025-07-21 00:52:48,positive,ممتاذ وسريع
Omda Alamin,ممتازه,5,2025-07-21 00:12:17,positive,ممتازه
ABDELRAHMAN MOSTAFA SALEH ELWANY,تمام تطبيق ممتاز,5,2025-07-21 00:11:48,positive,تمام ممتاز
مصعب الحجازي,ممتاز ومختصر جداً,5,2025-07-20 23:08:05,positive,ممتاز ومختصر جدا
خليفه القصير,ف العموم جيد,4,2025-07-20 22:58:07,positive,العموم جيد
Nana,مازال أوبر من أفضل تجارب القيادة بمصر و لكن مع زيادة الأسعار نحتاج لعروض كثيرة بتخفيضات كبيرة و خاصة مع العملاء القدامى,5,2025-07-20 21:47:55,positive,اوبر افضل تجارب القياده بمصر زياده الاسعار نحتاج لعروض كثيره بتخفيضات كبيره خاصه العملاء القدامي
عبده GB,خدمة ممتازة,5,2025-07-20 21:41:46,positive,خدمه ممتازه
عمر صلاح,كويسه,3,2025-07-20 21:23:47,neutral,كويسه
Rehana Elhawari,اسرع مواصله ف مصر,5,2025-07-20 21:05:20,positive,اسرع مواصله مصر
sokara mohammed,جميل,5,2025-07-20 21:01:00,positive,جميل
mahmut kamal,انا بنسبا يلي احسن برنامج تاكاسي,5,2025-07-20 20:36:47,positive,بنسبا يلي احسن تاكاسي
الحسين أحمد,سريع ورخيص وأمن وسلوك العملاء ممتاز,4,2025-07-20 20:14:39,positive,سريع ورخيص وامن وسلوك العملاء ممتاز
Mohamed M,ممتاز,5,2025-07-20 20:11:52,positive,ممتاز
Mohamed Hesham,افضل تطبيق بلا منافس,5,2025-07-20 19:47:53,positive,افضل بلا منافس
Huda Ahmad,روعة,5,2025-07-20 19:45:20,positive,روعه
لولو المدهون,الخدمة سيئة احاول ان اتواصل مع فريق الدعم لكن ليس هناك رد نسيت غرض لي بالسيارة واحاول التواصل مع فريق الدعم او السائق,1,2025-07-20 18:52:16,negative,الخدمه سيئه احاول ان اتواصل فريق الدعم رد نسيت غرض بالسياره واحاول التواصل فريق الدعم السائق
Nareman Momen,ممتازه,5,2025-07-20 18:47:06,positive,ممتازه
Shimaa Magdy,حلو جدا,5,2025-07-20 18:40:07,positive,حلو جدا
Mohamed Abd EL Maboud,ممتاز,5,2025-07-20 18:37:06,positive,ممتاز
Hind Abdelrahman,سريع و مريح و مفيد جظا أحب هذا التطبيق و سهل الطلب,5,2025-07-20 18:00:03,positive,سريع مريح مفيد جظا احب التطبيق سهل الطلب
Hamza Emad,تطبيق جميل بس في حاجة يريت تحسنها انو فترة لانتصار علشان تلاقي غربية طويلة,5,2025-07-20 17:36:14,positive,جميل حاجه يريت تحسنها انو فتره لانتصار علشان تلاقي غربيه طويله
Yousef Fandi,excelente,5,2025-07-20 17:30:23,positive,
Nermeen Kamal,كويس شغال,4,2025-07-20 16:37:49,positive,كويس شغال
Mohammad Mousa,الخدمه بقت سيئة جدا..انتظار وقت طويل الكابتن يقبل المشوار ويلغي بمزاجه قبل مايوصل أو يتصل ويقولك الغي علشان أنا بعيد,1,2025-07-20 16:02:16,negative,الخدمه بقت سيئه جدا انتظار وقت طويل الكابتن يقبل المشوار ويلغي بمزاجه مايوصل يتصل ويقولك الغي علشان بعيد
الامير امير,سي جدا,1,2025-07-20 15:26:31,negative,سي جدا
Mona Esmail,جيدة,3,2025-07-20 14:58:23,neutral,جيده
سمير صبرى,رائع,5,2025-07-20 14:51:53,positive,رائع
Heba Mahmoud,ممتاز,5,2025-07-20 14:44:47,positive,ممتاز
ساميه سامية,لا يوجد رقم للاتصال بخدمة العملاء لم أستطع الحصول على مفقوداتي,1,2025-07-20 14:16:47,negative,يوجد رقم للاتصال بخدمه العملاء استطع الحصول مفقوداتي
farouk badwey,تجربة جديرة بالتقدير,5,2025-07-20 13:59:43,positive,تجربه جديره بالتقدير
محمد الخليفي ، كنااري,good,5,2025-07-20 13:35:36,positive,
kemo hosny,افضل تطبيق تنقل ذكي,5,2025-07-20 13:30:01,positive,افضل تنقل ذكي
Bio Green,جيدة جدا,5,2025-07-20 13:24:31,positive,جيده جدا
ĂĦmễď Mįđò,برنامج رائع جداً ❤,5,2025-07-20 13:14:44,positive,رائع جدا
Mokhtar Ibrahim,خدمة ممتازة,5,2025-07-20 13:01:23,positive,خدمه ممتازه
abdullah shaker,"‏آمل من أوبر إعادة النظر في تصنيف السيارات ضمن فئة ""الفاخرة""، بما يتناسب مع توقعات العملاء وطبيعة الفئة.",1,2025-07-20 12:48:18,negative,امل اوبر اعاده النظر تصنيف السيارات ضمن فئه الفاخره ، يتناسب توقعات العملاء وطبيعه الفئه
محمد طنطاوي,تطبيق محترم,5,2025-07-20 11:40:09,positive,محترم
Mahmoud Mody,اوسخ ابلكشن ممكن تتعامل معاه كابتن أو عميل,1,2025-07-20 10:48:58,negative,اوسخ ابلكشن ممكن تتعامل معاه كابتن عميل
مصطفى محمد,شكرا جزيلا لكم,5,2025-07-20 10:20:08,positive,شكرا جزيلا
Emad Baabbad,برنامج ممتاز لكن مايحفظ موقع الالتقاء الدايم ويعطي لوكيشن غلط مما تضظر تدفع مبلغ زياده وانت مالك ذنب,4,2025-07-20 10:17:58,positive,ممتاز مايحفظ موقع الالتقاء الدايم ويعطي لوكيشن غلط تضظر تدفع مبلغ زياده وانت مالك ذنب
Mahmoud Zezo,تجربة رائعة,5,2025-07-20 10:11:32,positive,تجربه رائعه
hasssn sh,🙂,3,2025-07-20 09:29:45,neutral,
Aida Zahra,العربيات مابتلتزمش بالموقع وبتجيلى فى مكان ابعد وبعدين بلغوا الرحله مش كلهم بس بعض منهم,4,2025-07-20 09:25:14,positive,العربيات مابتلتزمش بالموقع وبتجيلي مكان ابعد وبعدين بلغوا الرحله مش كلهم منهم
YOUSEF Ahmed wod,جميل جدا,5,2025-07-20 09:24:45,positive,جميل جدا
صالح البرقي,جميل جدا ورائع,5,2025-07-20 09:15:19,positive,جميل جدا ورائع
Hoba elpop,برنامج زباله بيحدد الخريطه لوحده لو عايز تحدد مكان,1,2025-07-20 08:52:32,negative,زباله بيحدد الخريطه لوحده عايز تحدد مكان
Salah Ahmed,جميل جداً,5,2025-07-20 08:51:18,positive,جميل جدا
Mahmoud Elsnoty,ممتاز,5,2025-07-20 08:16:14,positive,ممتاز
مارب آل محن يزيد,تطبيق ممتاز وسلس وسريع,5,2025-07-20 08:13:40,positive,ممتاز وسلس وسريع
قناة ام عبدالرحمن,غالي ومابيعطيك نفس السعر بضل يزيد اشي بخزي,1,2025-07-20 08:12:03,negative,غالي ومابيعطيك السعر بضل يزيد اشي بخزي
عبدالله النايف,للأسف برنامج لديه فريق دعم سيء جدا وخاصه في مصر. السائقين يحتالون على العميل ولا يوجد من يحمي العميل طلبت أوبر من الفندق الي المطار في الغردقه وبعد ذلك تواصل معي السائق وبدأ في مساومتي على قيمه المشوار التي تعادل ثلاث أضعاف القيمه المحدده من البرنامج ورفضت وقمت بتغيير السائق وطلبت مره اخرى وايضا نفس المشكله ولكن بسعر اعلا من السابق وبعد ذلك حددت خيار الدفع بواسطه الفيزه ولكن السائق اجبرني على الدفع نقدا عند الوصول للمطار ثم تواصلت مع الدعم ووصفت لهم المشكله لكن للأسف كان كلامهم محبط ولم يتم حلها,1,2025-07-20 07:46:17,negative,للاسف لديه فريق دعم سيء جدا وخاصه مصر السائقين يحتالون العميل يوجد يحمي العميل طلبت اوبر الفندق الي المطار الغردقه وبعد تواصل معي السائق وبدا مساومتي قيمه المشوار تعادل اضعاف القيمه المحدده البرنامج ورفضت وقمت بتغيير السائق وطلبت مره اخري وايضا المشكله بسعر اعلا السابق وبعد حددت خيار الدفع بواسطه الفيزه السائق اجبرني الدفع نقدا الوصول للمطار تواصلت الدعم ووصفت المشكله للاسف كلامهم محبط ولم يتم حلها
ابو مالك ابو مالك,ممتاز,5,2025-07-20 07:19:31,positive,ممتاز
Heba My Account,تطبيق سيء سيء سيء كان عندي امتحان توجيهي والسائق كتن يحتاج 5 دقايق لكني بقيت انتظر 30 ساعة وكان الامتحان على وشك البدأ وعندما لغيت الطلب وطلبت واحد آخر جعلني ادفع ثمن الاثنين!!! وغيرها اليوم اختي لديها موعد استلام شهادتها بقينا ننتظر 40 دقيقة على وكل شوي اغير السائق وجعلني ادفع رغم ان الغلط من السواق الذين بالفعل يصلون إلى آخر الشارع لكن يلفون حول العالم ويأخروني!!,1,2025-07-20 07:17:28,negative,سيء سيء سيء عندي امتحان توجيهي والسائق كتن يحتاج دقايق لكني بقيت انتظر ساعه وكان الامتحان وشك البدا وعندما لغيت الطلب وطلبت اخر جعلني ادفع ثمن الاثنين وغيرها اليوم اختي لديها موعد استلام شهادتها بقينا ننتظر دقيقه وكل شوي اغير السائق وجعلني ادفع رغم ان الغلط السواق بالفعل يصلون الي اخر الشارع يلفون حول العالم وياخروني
mahmoud saad,ممتازة جداا,5,2025-07-20 07:12:15,positive,ممتازه جداا
KHOLOUD ALI,good,5,2025-07-20 06:50:53,positive,
وليد بندق,تطبيق سي جدا والاوبر بيقبل وهو بيكون ع مسافه بعيده عند تيجي 20 دقيقه واكتر وبينظلك مكان غير المكان و يجي متأخر و مفيش حد بيقبل بسرعه ويطلب منك تروح مشاوير خارج التطبيق ويعلي عليك السعر ولما انتا تلغي يبقا عليك غرامه,1,2025-07-20 06:48:15,negative,سي جدا والاوبر بيقبل بيكون مسافه بعيده تيجي دقيقه واكتر وبينظلك مكان المكان يجي متاخر مفيش حد بيقبل بسرعه ويطلب منك تروح مشاوير خارج التطبيق ويعلي السعر ولما انتا تلغي يبقا غرامه
سامي الجبور,انها جميله وسريع جدا,5,2025-07-20 06:43:57,positive,انها جميله وسريع جدا
Dalia Taha,جيد جدن,5,2025-07-20 06:25:31,positive,جيد جدن
Fathy Mohamed,اوقات كتير بطلب و يقبل ريكوست و هو في مشوار و يتأخر عليا و لما بلغي بيجلي غرامه و بتتكرر كتير اوي,3,2025-07-20 06:19:25,neutral,اوقات كتير بطلب يقبل ريكوست مشوار يتاخر عليا بلغي بيجلي غرامه بتتكرر كتير اوي
محمد عبده,تطبيق سيئ جداً م انصح بإستخدامه ، مشاويره مرتفعه ، ويرفع في المسافه ع شان يكون المبلغ كبير ، وإذا عملت إلغاء مشوار علطول يجيبوا الغرامه بينما التطبيقات الاخرى شي طبيعي ويجيبوا الغرامه على وقت محدد ، انصح بتطبيق ديدي افخم تطبيق تحفه والله.,1,2025-07-20 05:55:44,negative,سيئ جدا انصح باستخدامه ، مشاويره مرتفعه ، ويرفع المسافه شان يكون المبلغ كبير ، واذا عملت الغاء مشوار علطول يجيبوا الغرامه بينما التطبيقات الاخري شي طبيعي ويجيبوا الغرامه وقت محدد ، انصح بتطبيق ديدي افخم تحفه والله
Eman Saleh,ممتازة,5,2025-07-20 05:54:42,positive,ممتازه
Read Elqasaby,جزاكم الله خيرا على هذا المجهود الطيب ونبقى معكم لآخر العمر شكرا لتعاونكم جميعاً وربنا يحفظكم ونعم الشركة,5,2025-07-20 05:24:50,positive,جزاكم الله خيرا المجهود الطيب ونبقي معكم لاخر العمر شكرا لتعاونكم جميعا وربنا يحفظكم ونعم الشركه
Mahmoud Mostafa,جيد جدا,5,2025-07-20 05:09:05,positive,جيد جدا
Ahmed Nasr,جدا رائع,5,2025-07-20 01:26:47,positive,جدا رائع
Mohamed Eid,جيده,5,2025-07-20 00:29:06,positive,جيده
Mod Mod,شكرا لأحسن خدمة فى مصر,5,2025-07-20 00:25:50,positive,شكرا لاحسن خدمه مصر
Mahmoud Hajismail,ممتاز ورخيص وسائق محترم ولطيف,5,2025-07-20 00:08:57,positive,ممتاز ورخيص وسائق محترم ولطيف
Aalsarraf,Good,5,2025-07-19 20:57:09,positive,
Mostafa Saad,تطبيق ممتاز,5,2025-07-19 20:47:16,positive,ممتاز
KAGOO JOKER,افضل برنامج تنقل الكتروني,5,2025-07-19 20:19:59,positive,افضل تنقل الكتروني
Mohammed,ممتاز ورائع,5,2025-07-19 20:03:12,positive,ممتاز ورائع
Khaled Ajaj,جيده,5,2025-07-19 19:45:40,positive,جيده
Narjes,ما شاء الله تحسن ملحوظ في التطبيق وسرعة العثور على سيارة توصيل و تحديد الموقع ...في تطوير مستمر,4,2025-07-19 19:38:31,positive,شاء الله تحسن ملحوظ التطبيق وسرعه العثور سياره توصيل تحديد الموقع تطوير مستمر
Safaa Romi,الايجار مناسب والسائق محترم جداا,5,2025-07-19 19:29:53,positive,الايجار مناسب والسائق محترم جداا
ابو العزمحمد الأبيض,تعاملهم جداً ممتاز. وملتزمين في الوقت,5,2025-07-19 19:20:20,positive,تعاملهم جدا ممتاز وملتزمين الوقت
أيسر الأيمن,رائع مع خدمة سريعة,5,2025-07-19 19:19:57,positive,رائع خدمه سريعه
Gamil Be5et,اوبر مريح جدا,5,2025-07-19 19:01:40,positive,اوبر مريح جدا
Abdallah Mohamed,ممتاز,5,2025-07-19 18:56:10,positive,ممتاز
Sameh smsm Smsm,ممتاز,5,2025-07-19 18:46:09,positive,ممتاز
محمد حسين,ممتاز,5,2025-07-19 18:44:36,positive,ممتاز
XxXProxxx Rijf7fjrkjj,افضل وأرخص تطبيق مرررة يفيد والسائقين مرة زينين,5,2025-07-19 18:26:45,positive,افضل وارخص مررره يفيد والسائقين مره زينين
مهند بكري,تطبيق مريح وآمن,5,2025-07-19 18:25:59,positive,مريح وامن
Mohamed Ahmed,جيدا.,5,2025-07-19 18:14:23,positive,جيدا
المحامي احمد العجلوني,ممتاز,5,2025-07-19 18:13:10,positive,ممتاز
Hala Eltayeb,تطبيق سيئ جدا وعندما اريد تسجيل الدخول يعقد الأمر وفي النهاية لا ينجح,1,2025-07-19 17:34:35,negative,سيئ جدا وعندما اريد تسجيل الدخول يعقد الامر وفي النهايه ينجح
Mostafa Elgendy,اسعار معقوله وسيارات جميله,5,2025-07-19 16:56:17,positive,اسعار معقوله وسيارات جميله
Ahmed Mano,رائع,5,2025-07-19 16:37:29,positive,رائع
mohamed haroon,تجربه جديده جدا وتعريفه اوبر ممتازه,5,2025-07-19 16:30:49,positive,تجربه جديده جدا وتعريفه اوبر ممتازه
Hossam eldeen Mohamed,التطبيق سىء جدا انتظرت 20 دقيقة وقام السائق بالغاء الرحلة ومنظر سائق آخر 14 دقيقة ويقف الوقت على رقم احيانا ويظل اكثر من خمس دقائق,1,2025-07-19 16:26:32,negative,التطبيق سيء جدا انتظرت دقيقه وقام السائق بالغاء الرحله ومنظر سائق اخر دقيقه ويقف الوقت رقم احيانا ويظل اكثر دقائق
رحاب,يتابع ويهتم,5,2025-07-19 16:10:14,positive,يتابع ويهتم
احمد مجدي سمير,جميل جدا,5,2025-07-19 15:18:34,positive,جميل جدا
Sha3ban Mo2men,تجربه حلوه اوي,5,2025-07-19 14:36:39,positive,تجربه حلوه اوي
Abdul Hakim zaid,ممتاز جدا,5,2025-07-19 14:34:05,positive,ممتاز جدا
سبع صنايع,رائعة,5,2025-07-19 13:25:26,positive,رائعه
Emoo Yakout,كابتن في قمة الذوق والرقي,5,2025-07-19 13:03:02,positive,كابتن قمه الذوق والرقي
Aya Ahmed,ممتاز,5,2025-07-19 12:07:28,positive,ممتاز
Soliman Sayed,رائع,5,2025-07-19 11:47:21,positive,رائع
Mohamed abdellah,زوق,5,2025-07-19 11:16:17,positive,زوق
MENA SALAH,رائع,5,2025-07-19 08:16:31,positive,رائع
Thuraya Abdo,ممتازه,5,2025-07-19 08:05:54,positive,ممتازه
amr Mahna,كابتن ممتاز,5,2025-07-19 07:06:52,positive,كابتن ممتاز
حسام حسنى الششتاوى,ممتاز,5,2025-07-19 05:37:17,positive,ممتاز
‪d Ss‬‏,ممتاز,5,2025-07-19 05:29:17,positive,ممتاز
ahmed Mohamed,تجربة رائعة,5,2025-07-19 05:22:31,positive,تجربه رائعه
abdo sopih,ممتازه جدا,5,2025-07-19 04:32:30,positive,ممتازه جدا
gand,تعامله ممتاز,5,2025-07-19 03:42:16,positive,تعامله ممتاز
Ahmad,ممتازه,2,2025-07-19 02:45:43,negative,ممتازه
ذكريات حمادي,تطبيق جميل,1,2025-07-19 00:23:26,negative,جميل
فادي العساف,مريح,5,2025-07-19 00:16:53,positive,مريح
محمد الشيخ,حلو جدا,5,2025-07-19 00:02:13,positive,حلو جدا
Ahmed Asym,ممتاز,5,2025-07-18 23:47:45,positive,ممتاز
Hany Mohammed,جيد,5,2025-07-18 23:26:45,positive,جيد
sara ezmaze,جيد,5,2025-07-18 23:20:03,positive,جيد
صرخة حب sarkhat hb,شركة محترمة وسائقين محترمين,5,2025-07-18 22:48:01,positive,شركه محترمه وسائقين محترمين
عمر حمزه الخير,ممتاز,5,2025-07-18 22:38:35,positive,ممتاز
Mohamed Mostafa,اريد خصم,4,2025-07-18 22:29:29,positive,اريد خصم
ahmed mostafa,جيد جدا,5,2025-07-18 22:28:38,positive,جيد جدا
saleh hosny,خدمة زى الزفت سواقين استغلالين الانتظار اوقات طويلة للغاية لا انصح بتحميل التطبيق بالإضافة الي تغير اسعار الرحلات عند الوصول و يجبرك علي الدفع,1,2025-07-18 22:24:55,negative,خدمه زي الزفت سواقين استغلالين الانتظار اوقات طويله للغايه انصح بتحميل التطبيق بالاضافه الي تغير اسعار الرحلات الوصول يجبرك الدفع
Hager Seif,جميللللل,5,2025-07-18 21:39:06,positive,جميللللل
Hany Gallal,ممتاز,5,2025-07-18 21:10:32,positive,ممتاز
Bateha Ahmed,جيد,4,2025-07-18 20:33:28,positive,جيد
Meena George,برنامج حلو قوي,1,2025-07-18 20:27:29,negative,حلو قوي
ASKAR SALEM OTHMAN ASKAR,ليش تم الغاء الراكب الواحد ؟ اتمنى ان تقومون بارجاع الميزة هذه ولكم جزيل الشكر والتقدير 🌹,3,2025-07-18 19:49:16,neutral,ليش تم الغاء الراكب الواحد ؟ اتمني ان تقومون بارجاع الميزه ولكم جزيل الشكر والتقدير
Renad Mahmoud,روعه لكن يستغرق وقت للحصول علي السائق,4,2025-07-18 19:35:56,positive,روعه يستغرق وقت للحصول السائق
šãfäá śòś,جميل,5,2025-07-18 19:09:52,positive,جميل
Gaber ahmd Gaber morsa,جيده ومواعيد دقيقة,5,2025-07-18 19:05:30,positive,جيده ومواعيد دقيقه
Web Serv,تطبيق ممتاز، والسائقين ممتازين ومحترمين الله يعطيهم العافية,5,2025-07-18 19:03:15,positive,ممتاز، والسائقين ممتازين ومحترمين الله يعطيهم العافيه
تبيكل لفرش السيارات طبق الأصل,ممتاز,5,2025-07-18 19:01:13,positive,ممتاز
Yuossef 55,شكرا,5,2025-07-18 19:00:47,positive,شكرا
انا المرزوقي,اوكي,5,2025-07-18 18:55:28,positive,اوكي
الشمس المشرقه,ممتاز,5,2025-07-18 17:42:34,positive,ممتاز
Mohand Mohamed,ممتاز,5,2025-07-18 17:37:06,positive,ممتاز
Maram,رائع,5,2025-07-18 17:21:45,positive,رائع
احمد عبدالرافع,ممتاز,5,2025-07-18 16:39:30,positive,ممتاز
Elegance Wissam,منتاز,5,2025-07-18 16:33:19,positive,منتاز
Wahib Al-Ammari,التطبيق صار يحجز المشولر بسعر ثم يقوم بسحب مبلغ اخر بعد ذلك بحجة التأخر في الوقت، وهذا غير منصف لعدة اسباب وعلى راسها أن السائق يقوم بتفعيل وصعية الوصول قبل أن يصل فعلا إلى نقطة الإلتقاء، ويجب أن يكون هناك وقت انتظار على الأقل دقيقتين في كل المناطق وليس اماكن محدودة فقط. التطبيق بهذا السحب والخصم غير المنتظم مزعج جدا. ايضا عندما تحتج ، يخبرك أنه سيعيد الأموال الى المحفظة ، لكنها تختفي بعد ذلك دون معرفة السبب، وعندما تحاول التواصل مع خدمة العملاء، يجبرك على التحدث الآلي فقط.,2,2025-07-18 16:28:33,negative,التطبيق يحجز المشولر بسعر يقوم بسحب مبلغ اخر بحجه التاخر الوقت، وهذا منصف لعده اسباب وعلي راسها ان السائق يقوم بتفعيل وصعيه الوصول ان يصل فعلا الي نقطه الالتقاء، ويجب ان يكون وقت انتظار الاقل دقيقتين المناطق وليس اماكن محدوده فقط التطبيق بهذا السحب والخصم المنتظم مزعج جدا ايضا عندما تحتج ، يخبرك انه سيعيد الاموال الي المحفظه ، لكنها تختفي معرفه السبب، وعندما تحاول التواصل خدمه العملاء، يجبرك التحدث الالي فقط
محمد محمد,ممتاز,5,2025-07-18 16:22:33,positive,ممتاز
Rahma Muhammed,تجربه رائعه,5,2025-07-18 15:30:33,positive,تجربه رائعه
يوسف الرشيدي,ممتاز,5,2025-07-18 15:25:45,positive,ممتاز
Nelly Negm,جيده,5,2025-07-18 14:32:23,positive,جيده
Ahmad Oweiwiw,الشب محتر ول سياره جميله,5,2025-07-18 13:41:22,positive,الشب محتر ول سياره جميله
مستخدم Google,ممتاز,5,2025-07-18 13:24:40,positive,ممتاز
Mohamed fekry,برنامج فاشل زى الزفت كلكم شوية حرامية,1,2025-07-18 13:09:40,negative,فاشل زي الزفت كلكم شويه حراميه
HAYA Al-Subaie,ok,5,2025-07-18 11:48:05,positive,
اماني علي,تطيبق ممتاز وافضل من كيان يستاهلون اعلى تقييم,5,2025-07-18 11:42:37,positive,تطيبق ممتاز وافضل كيان يستاهلون اعلي تقييم
عماد ابو ملك,ممتاز,5,2025-07-18 11:22:31,positive,ممتاز
ORBITSHOME TABUK,في القاهره نسيت شاحن سامسونج اصلي فوق سياره اوبر و لي يومين اطالب خدمة العملاء تتواصل مع السواق او تعطيني رقمه يرجعه و لم تتجاوب معي بالعكس يقولو انتظر او بلغ على انها سرقه يعني اقطع رزق السواق او متصدعناش المهم ازفت خدمة عملاء في الكون,1,2025-07-18 10:53:29,negative,القاهره نسيت شاحن سامسونج اصلي سياره اوبر يومين اطالب خدمه العملاء تتواصل السواق تعطيني رقمه يرجعه تتجاوب معي بالعكس يقولو انتظر بلغ انها سرقه يعني اقطع السواق متصدعناش المهم ازفت خدمه عملاء الكون
Hamad Ammar,افضل تطبيق,5,2025-07-18 10:36:31,positive,افضل
Magdy Hanafy,تجربة ناجحة شكرا,5,2025-07-18 09:54:05,positive,تجربه ناجحه شكرا
Olfat Said,رحله جميله وسائق محترم جدا واخلاق ..شكرا,5,2025-07-18 09:43:51,positive,رحله جميله وسائق محترم جدا واخلاق شكرا
omar ragab,سي,3,2025-07-18 07:47:37,neutral,سي
Ahmed Kamel,ممتازة,5,2025-07-18 06:55:30,positive,ممتازه
Abou Omar,جيد بس محتاج مراجعة للاسعار,4,2025-07-18 05:51:27,positive,جيد محتاج مراجعه للاسعار
Abood Alzubi,خدمات رائعه,5,2025-07-18 05:02:12,positive,خدمات رائعه
كريم الباز,ممتاز,5,2025-07-18 04:37:05,positive,ممتاز
Roshan Mohammed,جميل جداً,5,2025-07-18 04:01:35,positive,جميل جدا
ْعبدالمعين الصعفاني,جميل,5,2025-07-18 01:46:38,positive,جميل
اا لل,ناس محطرمه,5,2025-07-18 01:31:24,positive,ناس محطرمه
Mohammed Almatari,ممتاز بارك الله فيكم,5,2025-07-18 00:43:02,positive,ممتاز بارك الله فيكم
محمد متولى,ممتاز,5,2025-07-18 00:07:48,positive,ممتاز
ماجد عبدالله,ممتاز,5,2025-07-17 23:22:40,positive,ممتاز
ابوساري,اسواء برنامج تعاملت معه بعض كباتنه نصابين,1,2025-07-17 22:59:04,negative,اسواء تعاملت معه كباتنه نصابين
احمد عبدالله,الانتظار حتى يتم التخصيص,4,2025-07-17 22:37:54,positive,الانتظار حتي يتم التخصيص
Ghada Farouk,ممتاز,5,2025-07-17 22:16:01,positive,ممتاز
Mona Ahmed,خدمه ممتازه,5,2025-07-17 21:59:19,positive,خدمه ممتازه
Hin Jwd,سيئ جدا,1,2025-07-17 21:34:32,negative,سيئ جدا
طارق الماحي,جدآ ممتازه,5,2025-07-17 21:33:42,positive,جدا ممتازه
my ستوري,çok iyi,5,2025-07-17 21:30:28,positive,
عبدالرحمن قطب,ممتاز,5,2025-07-17 21:19:31,positive,ممتاز
Karem Mohamed,ممتاز,5,2025-07-17 20:11:23,positive,ممتاز
Hany Abdelfatah,ممتازه,5,2025-07-17 20:00:13,positive,ممتازه
Hmod Hmod,ممتاز انصح الجميع,5,2025-07-17 19:49:51,positive,ممتاز انصح الجميع
مستخدم Google,ممتاز,5,2025-07-17 19:49:31,positive,ممتاز
Raef Ali,good,5,2025-07-17 19:45:22,positive,
Asemmm Ababnehh,اصبح التطبيق اسعاره خيالية وعند تقديم شكوى على اي عميل مثل محاسبتي اكثر من مرة من خلال المحفظة وايضاً الكاش نقدي يعني احتيال من قبل الكابتن الموظف الخاص بهم لم يهتمو ولا حتى الرد والاعتذار سياستكم الجديدة اصبحت من اسوء سياسة التطبيقات لا انصح بتمميل التطبيق انا عميل قديم لديهم وتقييم عالي ويعاملوني هكذا انصح بتحميل تتطبيقات تهتم بلعميل,1,2025-07-17 19:35:09,negative,اصبح التطبيق اسعاره خياليه وعند تقديم شكوي اي عميل محاسبتي اكثر مره خلال المحفظه وايضا الكاش نقدي يعني احتيال الكابتن الموظف الخاص يهتمو حتي الرد والاعتذار سياستكم الجديده اصبحت اسوء سياسه التطبيقات انصح بتمميل التطبيق عميل قديم لديهم وتقييم عالي ويعاملوني انصح بتحميل تتطبيقات تهتم بلعميل
احمد بن محمد,سهل,5,2025-07-17 19:27:36,positive,سهل
Soliman I,👍,5,2025-07-17 19:09:18,positive,
طاطا ابو عمار,ممتاز,5,2025-07-17 18:54:48,positive,ممتاز
